uid,sleep_start_pct_change_cntx,sleep_start_pct_change_generic,sleep_end_pct_change_cntx,sleep_end_pct_change_generic,sleep_duration_pct_change_cntx,sleep_duration_pct_change_generic
t0002@sreflect,-89.1891891891892,80.69105691056913,-10.204081632653063,-8.611111111111112,37.7049180327869,-27.010050251256278
t0003@sreflect,46.25850340136055,-6.211180124223596,-7.387862796833773,19.354838709677423,-41.379310344827594,54.23728813559322
t0004@sreflect,17.894736842105267,-28.18652849740933,-2.6378896882493974,-8.382352941176471,-8.695652173913043,9.395348837209303
t0005@sreflect,17.5,-32.25806451612904,0.0,-9.798270893371752,-9.375,2.690582959641257
t0006@sreflect,9.333333333333334,-16.14583333333333,0.0,47.98657718120806,-2.5362318840579707,78.46534653465346
t0007@sreflect,32.67326732673267,-42.19354838709677,-7.124010554089717,28.604651162790695,-21.582733812949645,68.50909090909092
t0008@sreflect,33.72093023255812,21.527777777777768,-5.491329479768789,-2.588996763754052,-18.46153846153847,-9.915611814345983
t0009@sreflect,15.714285714285712,-11.538461538461554,-11.79698216735253,-13.731343283582087,-28.953229398663694,-15.121951219512189
t0010@sreflect,10.204081632653063,,-14.506172839506176,,-18.909090909090907,
t0011@sreflect,14.383561643835616,,5.660377358490567,,0.0,
t0012@sreflect,8.256880733944959,25.694444444444436,3.4267912772585785,-0.6600660066006577,0.9433962264151028,-24.52830188679246
t0013@sreflect,-5.594405594405592,37.60000000000001,-31.050228310502277,-9.570041608876565,-43.38983050847458,-34.60721868365181
t0014@sreflect,397.14285714285717,,-29.993535875888828,,-61.095700416088775,
t0015@sreflect,16.838487972508606,,3.1870428422152535,,-2.77777777777778,
t0016@sreflect,-7.547169811320751,,-13.993710691823907,,-15.283018867924527,
t0017@sreflect,,,-33.549783549783555,,-42.857142857142854,
t0018@sreflect,12.080536912751686,-3.235294117647055,-11.351351351351353,2.4147727272727293,-27.14932126696833,7.6923076923076925
t0019@sreflect,51.42857142857142,,-11.641791044776117,,-18.999999999999993,
t0020@sreflect,-16.11570247933884,,-16.1507402422611,,-16.16766467065868,
t0022@sreflect,148.88888888888889,,-11.062801932367151,,-44.73684210526315,
