uid,sleep_start_w1,sleep_start_w6,sleep_start_w7,sleep_start_w8,sleep_end_w1,sleep_end_w6,sleep_end_w7,sleep_end_w8,sleep_duration_w1,sleep_duration_w6,sleep_duration_w7,sleep_duration_w8
t0002@sreflect,42.285714285714285,4.571428571428571,23.428571428571427,42.333333333333336,112.0,100.57142857142857,137.14285714285714,125.33333333333333,8.714285714285714,12.0,14.214285714285714,10.375
t0003@sreflect,42.0,61.42857142857143,46.0,43.142857142857146,108.28571428571429,100.28571428571429,79.71428571428571,95.14285714285714,8.285714285714286,4.857142857142857,4.214285714285714,6.5
t0004@sreflect,27.142857142857142,32.0,55.142857142857146,39.6,119.14285714285714,116.0,116.57142857142857,106.8,11.5,10.5,7.678571428571429,8.4
t0005@sreflect,34.285714285714285,40.285714285714285,35.42857142857143,24.0,98.28571428571429,98.28571428571429,99.14285714285714,89.42857142857143,8.0,7.25,7.964285714285714,8.178571428571429
t0006@sreflect,21.428571428571427,23.428571428571427,27.428571428571427,23.0,100.28571428571429,100.28571428571429,85.14285714285714,126.0,9.857142857142858,9.607142857142858,7.214285714285714,12.875
t0007@sreflect,28.857142857142858,38.285714285714285,44.285714285714285,25.6,108.28571428571429,100.57142857142857,122.85714285714286,158.0,9.928571428571429,7.785714285714286,9.821428571428571,16.55
t0008@sreflect,24.571428571428573,32.857142857142854,20.571428571428573,25.0,98.85714285714286,93.42857142857143,88.28571428571429,86.0,9.285714285714286,7.571428571428571,8.464285714285714,7.625
t0009@sreflect,40.0,46.285714285714285,37.142857142857146,32.857142857142854,104.14285714285714,91.85714285714286,95.71428571428571,82.57142857142857,8.017857142857142,5.696428571428571,7.321428571428571,6.214285714285714
t0010@sreflect,14.0,15.428571428571429,15.714285714285714,,92.57142857142857,79.14285714285714,76.0,,9.821428571428571,7.964285714285714,7.535714285714286,
t0011@sreflect,41.714285714285715,47.714285714285715,44.857142857142854,,106.0,112.0,96.0,,8.035714285714286,8.035714285714286,6.392857142857143,
t0012@sreflect,31.142857142857142,33.714285714285715,41.142857142857146,51.714285714285715,91.71428571428571,94.85714285714286,86.57142857142857,86.0,7.571428571428571,7.642857142857143,5.678571428571429,4.285714285714286
t0013@sreflect,40.857142857142854,38.57142857142857,35.714285714285715,49.142857142857146,125.14285714285714,86.28571428571429,103.0,93.14285714285714,10.535714285714286,5.964285714285714,8.410714285714286,5.5
t0014@sreflect,10.0,49.714285714285715,34.666666666666664,,147.33333333333334,103.14285714285714,90.33333333333333,,17.166666666666668,6.678571428571429,6.958333333333333,
t0015@sreflect,38.8,45.333333333333336,32.0,,127.6,131.66666666666666,138.66666666666666,,11.1,10.791666666666666,13.333333333333334,
t0016@sreflect,15.142857142857142,14.0,13.0,,90.85714285714286,78.14285714285714,76.8,,9.464285714285714,8.017857142857142,7.975,
t0017@sreflect,0.0,12.285714285714286,45.714285714285715,,132.0,87.71428571428571,117.71428571428571,,16.5,9.428571428571429,9.0,
t0018@sreflect,42.57142857142857,47.714285714285715,48.57142857142857,47.0,105.71428571428571,93.71428571428571,100.57142857142857,103.0,7.892857142857143,5.75,6.5,7.0
t0019@sreflect,10.0,15.142857142857142,,,95.71428571428571,84.57142857142857,,,10.714285714285714,8.678571428571429,,
t0020@sreflect,34.57142857142857,29.0,,,106.14285714285714,89.0,,,8.946428571428571,7.5,,
t0022@sreflect,20.571428571428573,51.2,,,118.28571428571429,105.2,,,12.214285714285714,6.75,,
